date,id,frequency,value
2020-02-01,my data,day,-0.413339278219764
2020-02-02,my data,day,0.0926026188683473
2020-02-03,my data,day,0.00202119853361138
2020-02-04,my data,day,-0.0985890757244916
2020-02-05,my data,day,2.6247631084845
2020-02-06,my data,day,0.320301038262782
2020-02-07,my data,day,0.213539106686722
2020-02-08,my data,day,-0.491905967692071
2020-02-09,my data,day,0.699790661131302
2020-02-10,my data,day,1.03189718732291
2020-02-11,my data,day,0.916467103283282
2020-02-12,my data,day,0.385118507763199
2020-02-13,my data,day,1.63046579805497
2020-02-14,my data,day,1.12057703994867
2020-02-15,my data,day,0.843420381427376
2020-02-16,my data,day,1.2395626877099
2020-02-17,my data,day,3.2040511069441
2020-02-18,my data,day,0.385118507763199
2020-02-19,my data,day,0.415882016524097
2020-02-20,my data,day,2.50114118548081
2020-02-21,my data,day,0.784579754546674
2020-02-22,my data,day,0.804612736121312
2020-02-23,my data,day,0.00202119853361138
2020-02-24,my data,day,1.06240479954419
2020-02-25,my data,day,0.76410223620256
2020-02-26,my data,day,1.73916639932403
2020-02-27,my data,day,2.54504840038628
2020-02-28,my data,day,1.58845889456911
2020-02-29,my data,day,0.415882016524097
2020-03-01,my data,day,0.529536886435562
2020-03-02,my data,day,-0.341045053651689
